"idempresa","empresa","direccion","localidad","provincia","idproducto","producto","precio","fecha_vigencia","empresabandera","fecha"
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$83.70,07/02/21 12:00 AM,"YPF",202102
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$83.70,07/02/21 12:00 AM,"YPF",202102
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$84.70,"14/02/2021 00:00","YPF",202102
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$84.70,"14/02/2021 00:00","YPF",202102
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$77.10,05/01/21 12:00 AM,"YPF",202101
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$77.10,05/01/21 12:00 AM,"YPF",202101
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$77.90,06/01/21 12:00 AM,"YPF",202101
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$77.90,06/01/21 12:00 AM,"YPF",202101
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$80.70,"16/01/2021 00:00","YPF",202101
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$80.70,"16/01/2021 00:00","YPF",202101
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$81.90,"21/01/2021 00:00","YPF",202101
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$81.90,"21/01/2021 00:00","YPF",202101
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$70.90,04/12/20 12:00 AM,"YPF",202012
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$70.90,04/12/20 12:00 AM,"YPF",202012
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$74.70,"16/12/2020 00:00","YPF",202012
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$74.70,"16/12/2020 00:00","YPF",202012
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$74.90,"27/12/2020 00:00","YPF",202012
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$74.90,"27/12/2020 00:00","YPF",202012
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$69.90,"23/11/2020 00:00","YPF",202011
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$69.90,"23/11/2020 00:00","YPF",202011
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$67.18,"16/10/2020 00:00","YPF",202010
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$67.18,"16/10/2020 00:00","YPF",202010
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$67.48,"20/10/2020 00:00","YPF",202010
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$67.48,"20/10/2020 00:00","YPF",202010
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$64.63,"19/09/2020 00:00","YPF",202009
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$64.63,"19/09/2020 00:00","YPF",202009
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$61.70,"19/08/2020 00:00","YPF",202008
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$61.70,"19/08/2020 00:00","YPF",202008
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$59.04,02/03/20 12:00 AM,"YPF",202003
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$59.04,02/03/20 12:00 AM,"YPF",202003
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$58.89,01/12/19 12:00 AM,"YPF",201912
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$58.89,01/12/19 12:00 AM,"YPF",201912
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$52.54,01/11/19 12:00 AM,"YPF",201911
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$52.54,01/11/19 12:00 AM,"YPF",201911
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$55.19,"14/11/2019 00:00","YPF",201911
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$55.19,"14/11/2019 00:00","YPF",201911
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$50.00,"19/09/2019 00:00","YPF",201909
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$50.00,"19/09/2019 00:00","YPF",201909
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$48.07,01/07/19 12:00 AM,"YPF",201907
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$48.07,01/07/19 12:00 AM,"YPF",201907
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$46.90,01/06/19 12:00 AM,"YPF",201906
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$46.90,01/06/19 12:00 AM,"YPF",201906
999,"OPESSA","RUTA 2 KM 202,300","DOLORES","BUENOS AIRES",2,"Nafta (súper) entre 92 y 95 Ron",$46.21,"30/04/2019 06:00","YPF",201904
