Cifras absolutas y relativas;Sexo;Edad;Horas de sueño al día;Total
CIFRAS RELATIVAS;Varones;De 0 a 4 años;Ocho o nueve horas;18,49
CIFRAS RELATIVAS;Varones;De 0 a 4 años;Diez o más horas;79,21
CIFRAS RELATIVAS;Varones;De 5 a 15 años;Total;100,00
CIFRAS RELATIVAS;Varones;De 5 a 15 años;Menos de 6 horas;0,17
CIFRAS RELATIVAS;Varones;De 5 a 15 años;Seis o siete horas;4,46
CIFRAS RELATIVAS;Varones;De 5 a 15 años;Ocho o nueve horas;54,68
CIFRAS RELATIVAS;Varones;De 5 a 15 años;Diez o más horas;40,70
CIFRAS RELATIVAS;Varones;De 16 a 24 años;Total;100,00
CIFRAS RELATIVAS;Varones;De 16 a 24 años;Menos de 6 horas;2,08
CIFRAS RELATIVAS;Varones;De 16 a 24 años;Seis o siete horas;28,42
CIFRAS RELATIVAS;Varones;De 16 a 24 años;Ocho o nueve horas;58,88
CIFRAS RELATIVAS;Varones;De 16 a 24 años;Diez o más horas;10,63
CIFRAS RELATIVAS;Varones;De 25 a 34 años;Total;100,00
CIFRAS RELATIVAS;Varones;De 25 a 34 años;Menos de 6 horas;3,48
CIFRAS RELATIVAS;Varones;De 25 a 34 años;Seis o siete horas;42,53
CIFRAS RELATIVAS;Varones;De 25 a 34 años;Ocho o nueve horas;50,06
CIFRAS RELATIVAS;Varones;De 25 a 34 años;Diez o más horas;3,93
CIFRAS RELATIVAS;Varones;De 35 a 44 años;Total;100,00
CIFRAS RELATIVAS;Varones;De 35 a 44 años;Menos de 6 horas;6,88
CIFRAS RELATIVAS;Varones;De 35 a 44 años;Seis o siete horas;52,43
CIFRAS RELATIVAS;Varones;De 35 a 44 años;Ocho o nueve horas;38,11
CIFRAS RELATIVAS;Varones;De 35 a 44 años;Diez o más horas;2,59
CIFRAS RELATIVAS;Varones;De 45 a 54 años;Total;100,00
CIFRAS RELATIVAS;Varones;De 45 a 54 años;Menos de 6 horas;7,48
CIFRAS RELATIVAS;Varones;De 45 a 54 años;Seis o siete horas;49,49
CIFRAS RELATIVAS;Varones;De 45 a 54 años;Ocho o nueve horas;39,10
CIFRAS RELATIVAS;Varones;De 45 a 54 años;Diez o más horas;3,94
CIFRAS RELATIVAS;Varones;De 55 a 64 años;Total;100,00
CIFRAS RELATIVAS;Varones;De 55 a 64 años;Menos de 6 horas;6,46
CIFRAS RELATIVAS;Varones;De 55 a 64 años;Seis o siete horas;46,41
CIFRAS RELATIVAS;Varones;De 55 a 64 años;Ocho o nueve horas;39,80
CIFRAS RELATIVAS;Varones;De 55 a 64 años;Diez o más horas;7,34
CIFRAS RELATIVAS;Varones;De 65 a 74 años;Total;100,00
CIFRAS RELATIVAS;Varones;De 65 a 74 años;Menos de 6 horas;9,62
CIFRAS RELATIVAS;Varones;De 65 a 74 años;Seis o siete horas;30,09
CIFRAS RELATIVAS;Varones;De 65 a 74 años;Ocho o nueve horas;45,77
CIFRAS RELATIVAS;Varones;De 65 a 74 años;Diez o más horas;14,52
CIFRAS RELATIVAS;Varones;De 75 y más años;Total;100,00
CIFRAS RELATIVAS;Varones;De 75 y más años;Menos de 6 horas;14,16
CIFRAS RELATIVAS;Varones;De 75 y más años;Seis o siete horas;23,90
CIFRAS RELATIVAS;Varones;De 75 y más años;Ocho o nueve horas;37,15
CIFRAS RELATIVAS;Varones;De 75 y más años;Diez o más horas;24,80
CIFRAS RELATIVAS;Mujeres;Total;Total;100,00
CIFRAS RELATIVAS;Mujeres;Total;Menos de 6 horas;8,55
CIFRAS RELATIVAS;Mujeres;Total;Seis o siete horas;34,91
CIFRAS RELATIVAS;Mujeres;Total;Ocho o nueve horas;43,62
CIFRAS RELATIVAS;Mujeres;Total;Diez o más horas;12,93
CIFRAS RELATIVAS;Mujeres;De 0 a 4 años;Total;100,00
CIFRAS RELATIVAS;Mujeres;De 0 a 4 años;Menos de 6 horas;0,67
CIFRAS RELATIVAS;Mujeres;De 0 a 4 años;Seis o siete horas;2,62
CIFRAS RELATIVAS;Mujeres;De 0 a 4 años;Ocho o nueve horas;15,55
CIFRAS RELATIVAS;Mujeres;De 0 a 4 años;Diez o más horas;81,16
CIFRAS RELATIVAS;Mujeres;De 5 a 15 años;Total;100,00
CIFRAS RELATIVAS;Mujeres;De 5 a 15 años;Menos de 6 horas;0,31
CIFRAS RELATIVAS;Mujeres;De 5 a 15 años;Seis o siete horas;3,02
CIFRAS RELATIVAS;Mujeres;De 5 a 15 años;Ocho o nueve horas;55,97
CIFRAS RELATIVAS;Mujeres;De 5 a 15 años;Diez o más horas;40,70
CIFRAS RELATIVAS;Mujeres;De 16 a 24 años;Total;100,00
CIFRAS RELATIVAS;Mujeres;De 16 a 24 años;Menos de 6 horas;1,08
CIFRAS RELATIVAS;Mujeres;De 16 a 24 años;Seis o siete horas;26,97
CIFRAS RELATIVAS;Mujeres;De 16 a 24 años;Ocho o nueve horas;60,40
CIFRAS RELATIVAS;Mujeres;De 16 a 24 años;Diez o más horas;11,56
CIFRAS RELATIVAS;Mujeres;De 25 a 34 años;Total;100,00
CIFRAS RELATIVAS;Mujeres;De 25 a 34 años;Menos de 6 horas;3,63
CIFRAS RELATIVAS;Mujeres;De 25 a 34 años;Seis o siete horas;36,64
CIFRAS RELATIVAS;Mujeres;De 25 a 34 años;Ocho o nueve horas;55,57
CIFRAS RELATIVAS;Mujeres;De 25 a 34 años;Diez o más horas;4,16
CIFRAS RELATIVAS;Mujeres;De 35 a 44 años;Total;100,00
CIFRAS RELATIVAS;Mujeres;De 35 a 44 años;Menos de 6 horas;5,83
CIFRAS RELATIVAS;Mujeres;De 35 a 44 años;Seis o siete horas;49,80
CIFRAS RELATIVAS;Mujeres;De 35 a 44 años;Ocho o nueve horas;42,21
CIFRAS RELATIVAS;Mujeres;De 35 a 44 años;Diez o más horas;2,16
CIFRAS RELATIVAS;Mujeres;De 45 a 54 años;Total;100,00
CIFRAS RELATIVAS;Mujeres;De 45 a 54 años;Menos de 6 horas;12,41
CIFRAS RELATIVAS;Mujeres;De 45 a 54 años;Seis o siete horas;50,12
CIFRAS RELATIVAS;Mujeres;De 45 a 54 años;Ocho o nueve horas;34,74
CIFRAS RELATIVAS;Mujeres;De 45 a 54 años;Diez o más horas;2,73
CIFRAS RELATIVAS;Mujeres;De 55 a 64 años;Total;100,00
CIFRAS RELATIVAS;Mujeres;De 55 a 64 años;Menos de 6 horas;16,33
CIFRAS RELATIVAS;Mujeres;De 55 a 64 años;Seis o siete horas;44,52
CIFRAS RELATIVAS;Mujeres;De 55 a 64 años;Ocho o nueve horas;35,76
CIFRAS RELATIVAS;Mujeres;De 55 a 64 años;Diez o más horas;3,39
CIFRAS RELATIVAS;Mujeres;De 65 a 74 años;Total;100,00
CIFRAS RELATIVAS;Mujeres;De 65 a 74 años;Menos de 6 horas;20,85
CIFRAS RELATIVAS;Mujeres;De 65 a 74 años;Seis o siete horas;38,62
CIFRAS RELATIVAS;Mujeres;De 65 a 74 años;Ocho o nueve horas;34,51
CIFRAS RELATIVAS;Mujeres;De 65 a 74 años;Diez o más horas;6,02
CIFRAS RELATIVAS;Mujeres;De 75 y más años;Total;100,00
CIFRAS RELATIVAS;Mujeres;De 75 y más años;Menos de 6 horas;17,28
CIFRAS RELATIVAS;Mujeres;De 75 y más años;Seis o siete horas;32,66
CIFRAS RELATIVAS;Mujeres;De 75 y más años;Ocho o nueve horas;31,46
CIFRAS RELATIVAS;Mujeres;De 75 y más años;Diez o más horas;18,60
