Año,Mes,Operador,Motivo de reclamo,Número de reclamos
2019,1,Telefonica de Argentina S.A.,Facturación,113
2019,1,Telefonica de Argentina S.A.,Gestiones Administrativas,271
2019,1,Telefonica de Argentina S.A.,Otros,14
2019,1,Telefonica de Argentina S.A.,Problemas Técnicos,1061
2019,1,TELMEX Argentina S.A.,Facturación,1
2019,1,TELMEX Argentina S.A.,Gestiones Administrativas,5
2019,1,TELMEX Argentina S.A.,Otros,1
2019,1,TELMEX Argentina S.A.,Problemas Técnicos,4
2018,12,Advance Telecomunicaciones S.A. (Speedy),Problemas Técnicos,1
2018,12,AMX Argentina S.A. (Claro),Facturación,6
2018,12,AMX Argentina S.A. (Claro),Gestiones Administrativas,6
2018,12,AMX Argentina S.A. (Claro),Otros,8
2018,12,AMX Argentina S.A. (Claro),Problemas Técnicos,8
2018,12,Arnet S.A.,Gestiones Administrativas,2
2018,12,Arnet S.A.,Problemas Técnicos,6
2018,12,DIRECT TV Argentina S.A.L,Facturación,1
2018,12,DIRECT TV Argentina S.A.L,Gestiones Administrativas,9
2018,12,DIRECT TV Argentina S.A.L,Otros,2
2018,12,Fibertel S.A. (TCI),Gestiones Administrativas,4
2018,12,Fibertel S.A. (TCI),Problemas Técnicos,7
2018,12,Movistar - Telefonica Moviles Argentina S.A.,Facturación,26
2018,12,Movistar - Telefonica Moviles Argentina S.A.,Gestiones Administrativas,21
2018,12,Movistar - Telefonica Moviles Argentina S.A.,Otros,28
2018,12,Movistar - Telefonica Moviles Argentina S.A.,Problemas Técnicos,24
2018,12,Otros,Facturación,4
2018,12,Otros,Gestiones Administrativas,14
2018,12,Otros,Otros,5
2018,12,Otros,Problemas Técnicos,35
2018,12,PRIMA,Problemas Técnicos,1
2018,12,SION S.A.,Facturación,1
2018,12,TELECENTRO S.A.,Facturación,8
2018,12,TELECENTRO S.A.,Gestiones Administrativas,11
2018,12,TELECENTRO S.A.,Otros,5
2018,12,TELECENTRO S.A.,Problemas Técnicos,22
2018,12,Telecom Argentina S.A.,Facturación,64
2018,12,Telecom Argentina S.A.,Gestiones Administrativas,110
2018,12,Telecom Argentina S.A.,Otros,22
2018,12,Telecom Argentina S.A.,Problemas Técnicos,594
2018,12,Telefonica de Argentina S.A.,Facturación,89
2018,12,Telefonica de Argentina S.A.,Gestiones Administrativas,167
2018,12,Telefonica de Argentina S.A.,Otros,6
2018,12,Telefonica de Argentina S.A.,Problemas Técnicos,568
2018,12,TELMEX Argentina S.A.,Problemas Técnicos,5
2018,11,Advance Telecomunicaciones S.A. (Speedy),Gestiones Administrativas,1
2018,11,Advance Telecomunicaciones S.A. (Speedy),Problemas Técnicos,4
2018,11,AMX Argentina S.A. (Claro),Facturación,6
2018,11,AMX Argentina S.A. (Claro),Gestiones Administrativas,2
2018,11,AMX Argentina S.A. (Claro),Otros,8
2018,11,AMX Argentina S.A. (Claro),Problemas Técnicos,18
2018,11,Arnet S.A.,Facturación,1
2018,11,Arnet S.A.,Gestiones Administrativas,1
